"#user_id","#account_id",新增日期,激励pv,激励ecpm,其他pv,其他ecpm,关卡数,cpa,7日回收
845363269419544576,4c158c43a800752f,2021-05-21,9,143.85,31,15.15,4,3.62,1.76
845357511143469057,6513ee1f12221fe2,2021-05-21,14,110.84,26,7.35,5,3.62,1.74
845356685777440768,a86f399de23cfee4,2021-05-21,4,80.63,20,4.40,4,3.30,0.41
845357219582976000,263057a25081fa13,2021-05-21,4,97.50,8,6.00,2,3.62,0.44
845703030680203264,99a3a77dc08ec7c1,2021-05-22,20,65.33,58,6.29,5,3.26,2.50
845285051313950721,79b23de4313cd934,2021-05-21,67,153.92,265,12.17,41,2.57,13.54
845636437921116160,2cc2ab4fba217314,2021-05-22,6,188.28,25,5.36,2,3.50,1.26
845625841691537409,2b50522c1b5f2d11,2021-05-22,15,119.70,58,16.34,11,3.50,5.99
845628866359341058,91f8f5a985a15761,2021-05-22,6,94.33,19,10.00,3,3.50,4.14
845263191507472384,4887ca6ab26b872b,2021-05-21,5,127.30,6,10.17,1,2.36,0.70
845755680064540672,bc1dc3c10a3ae48,2021-05-22,13,68.62,31,7.52,5,3.50,1.12
845723116489027591,7a4e333c9c2c40aa,2021-05-22,17,70.85,59,5.95,1,4.58,1.56
845397088545681410,2bae781bfd7ea787,2021-05-21,20,90.23,74,5.95,7,3.34,2.38
845356869399875584,c2dd77b126103800,2021-05-21,66,103.50,217,9.62,37,3.62,9.83
845356300006989824,42a3f0a2b33164eb,2021-05-21,5,147.21,18,14.17,2,3.62,0.99
845357174019592192,66339b7f73fad2ac,2021-05-21,5,69.40,10,4.50,1,3.34,0.39
845694113156046848,0254c83005739ce9,2021-05-22,13,92.88,53,7.55,7,4.49,3.22
845704252256161792,1d734f1983f13503,2021-05-22,112,93.30,530,6.64,62,3.26,60.21
845668963408814080,35179b1b379c0672,2021-05-22,2,98.75,13,9.62,1,3.26,0.32
845326007078363140,c12a92990ea72565,2021-05-21,8,131.81,30,29.40,4,3.30,1.94
845308786524430336,1bd8e09f2a5c02b8,2021-05-21,8,184.30,19,20.00,1,3.82,1.85
845635555391578112,53728fea0b042210,2021-05-22,38,530.03,60,10.50,2,3.50,27.02
845623536533114880,1617228aec5b5de9,2021-05-22,6,98.75,26,13.88,2,3.50,0.95
845260429594341379,06d2621a0bb95cc1,2021-05-21,14,134.89,34,9.65,6,3.62,2.22
845258003875504128,852473219ab3c79f,2021-05-21,22,112.61,60,7.07,14,3.62,2.90
845782006490865671,7e1ea3929ed646fd,2021-05-22,6,75.25,11,5.45,1,3.26,0.51
845761699279155200,7d9141f16729f880,2021-05-22,44,14.73,100,6.10,14,3.50,6.83
845357544498270213,98312a10110cdad6,2021-05-21,8,213.76,23,32.17,3,3.62,2.45
845357265814433792,9c773f77862fba55,2021-05-21,6,112.96,21,12.14,3,3.30,0.93
845342094750785536,c028be164a762e17,2021-05-21,8,171.07,39,19.23,4,2.36,2.12
845691482404032512,b5db99ed9a59ad4a,2021-05-22,37,214.02,84,10.87,17,3.50,9.39
845698012411072519,7b926ba4ffb45fb1,2021-05-22,3,126.70,11,6.82,1,3.26,0.46
