0,8,80.31,14,5.36,1,1
1,8,111.63,22,17.73,3,0
2,32,37.42,164,6.51,16,1
3,13,81.88,32,7.44,5,0
4,46,35.44,113,5.88,16,0
5,1,250,10,34.3,1,0
6,20,83.24,75,7.56,7,1
7,7,151.4,45,22.49,7,0
8,81,163.23,248,11.22,44,1
9,2,99.75,19,27.26,1,0
10,6,60.5,19,5.79,3,0
11,29,80.02,125,6.68,5,1
12,14,59.89,48,7.08,8,0
13,2,98.75,6,6.67,1,0
14,6,201.67,31,15.55,5,0
15,3,148.45,12,13.75,1,0
16,13,81.77,18,5.56,1,0
17,7,115.29,34,15.66,5,0
18,1,145.35,14,13.57,1,0
19,9,140.33,30,7.2,6,0
20,8,135.25,24,8.83,4,0
21,20,95.08,67,5.84,8,0
22,8,130.74,23,10.96,2,0
23,11,89.82,36,6.67,7,0
24,28,7.32,72,5.9,7,0
25,42,19.57,192,6.29,22,0
26,13,165.39,34,11.56,7,0
27,15,72.79,106,8.06,10,0
28,15,83.26,53,9.01,11,1
29,79,80.99,290,8.99,27,1
30,11,94.09,20,5.05,1,0
31,5,139.07,11,22.45,1,0
32,14,99.36,38,8.55,1,0
33,14,82.91,24,19.92,2,0
34,37,85.36,64,7.56,5,1
35,9,169.97,27,17.7,3,0
36,7,205.4,18,13.06,3,0
37,17,50.08,34,5.15,1,0
38,25,75.59,108,9.48,13,1
39,19,51,22,6.59,5,0
40,35,73.77,160,11.12,20,1
41,2,70.05,14,11.43,2,0
42,7,105.84,38,21.45,5,0
43,8,131.21,25,12,5,0
44,5,112,15,6,2,0
45,31,41.95,123,6.1,13,0
46,7,90.71,29,5.45,3,0
47,1,100,15,13.73,1,0
48,1,59.5,9,11.44,1,0
49,146,113.62,441,11.02,43,1
50,37,104.38,162,15.69,21,1
51,7,148.43,18,7,2,0
52,16,67.18,61,19.31,5,0
53,20,106.53,72,11.31,10,1
54,53,74.1,230,6.96,21,1
55,49,56.8,131,5.69,5,1
56,38,74.61,86,9.98,4,1
57,6,98.17,27,25.3,3,0
58,23,49.87,67,6.46,16,0
59,33,58.94,70,6.71,11,0
60,75,74.08,257,12.49,19,1
61,20,249.92,59,7.78,4,1
62,11,113.52,26,9.35,4,0
63,5,188,16,11.59,2,0
64,5,83.5,19,8.84,17,0
65,39,179.38,109,11.03,22,1
66,10,79.15,42,8.36,2,0
67,22,56.4,50,8.7,5,0
68,35,55.01,119,6.5,7,0
69,27,115.73,74,8.43,8,1
70,3,146.5,23,8.39,3,0
71,3,97.5,7,7.14,1,0
72,9,500.07,34,41.06,3,1
73,8,136.56,28,20.02,4,0
74,15,122.93,41,16.05,7,0
75,9,85.83,11,5.91,1,0
76,8,89.38,26,14.62,3,0
77,1,97.5,6,24,1,0
78,3,153.17,20,32.5,2,0
79,2,99.63,9,51.33,1,0
80,8,241.28,39,31.95,4,1
81,5,220.22,16,25.94,2,0
82,11,98.41,86,18.01,10,0
83,3,100,8,9.75,1,0
84,11,83.27,44,13.59,6,0
85,29,183.52,87,20.82,18,1
86,15,77.4,25,7.2,4,0
87,15,56,36,5.97,7,0
88,5,43,17,7.78,3,0
89,4,81.25,20,6.4,3,0
90,15,67.57,51,5.98,5,0
91,11,81.36,90,11.6,6,0
92,2,129.75,30,10.97,3,0
93,5,97.5,11,5.91,2,0
94,15,142.23,35,6.43,9,1
95,12,50.37,24,5.13,4,0
96,80,59.26,367,6.09,35,1
97,6,148.55,14,6.07,4,0
98,21,73.41,74,6.08,12,0
99,10,180,17,5.47,5,1
100,15,65.5,42,8.93,6,0
101,3,88.38,6,5.83,1,1
102,61,83.11,124,6.68,1,1
103,4,97.5,2,34,2,0
104,3,135,14,6.29,1,0
105,7,127.43,25,7.72,3,1
106,14,58.64,32,5.28,7,1
107,13,80.35,39,24.59,2,0
108,2,97.5,10,21.8,1,0
109,1,100,10,16.3,1,0
110,3,119.83,9,28.83,1,0
111,8,84.06,13,6.15,2,0
112,12,95.42,30,7.13,2,0
113,7,157,21,5.48,2,1
114,1,350,24,46.13,3,0
115,25,73.56,50,14.08,1,0
116,17,102.06,52,13.85,6,1
117,3,74.17,9,6.56,1,0
118,9,156.67,15,15.73,3,1
119,37,28.8,50,15.8,5,1
120,4,175.55,14,5.5,3,1
121,3,349.71,13,16.54,3,0
122,4,63.75,13,26.54,2,0
123,3,53.33,12,5.42,1,0
124,3,183.67,19,12.89,2,0
125,46,131.04,104,11.82,16,1
126,5,520,30,25.53,1,1
127,1,200,8,6.87,1,0
128,47,44.47,133,8.53,8,1
129,3,72.33,12,6.25,2,0
130,10,104.52,36,7.64,6,1
131,3,180,9,11.67,1,0
132,1,145.35,3,5,1,0
133,6,196.14,17,19.41,3,0
134,11,117.82,8,6.63,1,1
135,5,101.44,5,7,1,0
136,50,88.27,198,6.72,33,1
137,12,245.83,27,17.59,3,1
138,10,231.26,23,10,6,0
139,2,97.5,14,5.36,1,0
140,49,87.79,123,9.46,21,1
141,3,98.17,24,11.92,2,0
142,27,118.33,68,9.82,8,0
143,30,56.55,117,6.52,12,0
144,2,170,5,7,1,0
145,4,262.6,19,34.73,1,0
146,14,132.14,29,5.45,1,0
147,7,92.14,37,7.38,5,0
148,3,99.83,7,5.71,1,0
149,1,99.25,17,23.91,1,0
150,5,143.9,22,20.59,1,0
151,8,247.54,20,31,2,0
152,12,156.67,19,39.53,2,0
153,35,50.37,63,5.44,6,1
154,7,82.86,155,11.47,19,0
155,14,58.57,35,5.86,5,0
156,21,90.4,95,9.68,12,1
157,6,99.42,17,19.65,1,0
158,29,63.38,128,6.27,10,1
159,29,44.22,55,5.82,5,0
160,4,142.5,14,7.86,1,0
161,28,50.89,142,5.98,7,1
162,97,75.12,436,6.75,64,1
163,2,99.5,35,15.5,4,0
164,37,32.99,54,5.65,5,1
165,12,96.42,35,8.77,5,0
166,5,109.9,9,21.67,2,0
167,5,74.9,27,19.81,2,0
168,9,333.37,29,10.14,4,0
169,172,14.85,314,5.66,45,1
170,7,42.5,9,5.56,2,0
171,12,111.36,30,20.63,4,0
172,160,39.67,504,6.82,41,1
173,16,82.31,47,19.64,3,0
174,6,366.67,13,58,1,0
175,290,49.64,1248,6.42,153,1
176,2,80,8,7.38,1,0
177,25,115.16,120,21.11,4,1
178,7,109.86,24,14.56,5,0
179,26,90.94,49,7.96,5,0
180,5,99.4,19,10.76,3,0
181,32,55.28,143,6.75,18,0
182,8,97.5,15,24.07,1,0
183,10,227.92,17,19.12,1,1
184,14,353.45,33,33.2,5,0
185,20,132.48,47,7.57,5,1
186,3,98.17,9,10.78,1,0
187,9,78.5,27,6.11,5,0
188,6,107.52,7,9.71,1,0
189,14,56.79,15,19.67,9,1
190,74,48.6,344,7.4,38,1
191,21,139.56,51,12.96,10,1
192,124,21.8,561,6.69,62,1
193,8,112.44,26,7.88,4,1
194,19,122.53,61,6.31,4,0
195,8,86.13,25,12.08,4,0
196,4,90.23,9,6.67,2,0
197,25,119.71,46,6.54,6,1
198,14,95.61,39,8.17,4,0
199,58,142.62,155,8.33,24,1
200,9,71.81,22,8.32,4,0
201,45,21.56,160,8.96,20,1
202,8,184.87,16,17.5,2,0
203,38,78.14,181,12.46,12,1
204,9,85.5,27,6.11,6,0
205,55,7.38,134,5.59,16,1
206,2,97.5,4,6.25,1,0
207,30,53.05,79,6.39,7,1
208,8,85.31,19,16.58,2,0
209,3,466.67,23,17.83,3,0
210,1,298.04,6,5.83,1,0
211,26,47.06,91,5.98,11,0
212,13,90.78,20,12.25,1,0
213,12,61.25,24,15.42,3,0
214,20,85.65,72,6.11,11,0
215,41,61.09,169,6.33,18,1
216,51,133.58,146,9.73,25,1
217,54,74.43,236,8.45,31,1
218,15,47.07,42,7.88,9,0
219,3,84.83,10,6,1,0
220,12,87.29,33,4.45,5,0
221,5,95.4,12,7.92,1,0
222,2,750,7,9.86,1,0
223,4,79.63,12,32.92,2,0
224,4,194.95,12,9.58,1,0
225,28,56.16,41,5.59,1,0
226,13,115.15,26,9.85,2,0
227,11,140.91,15,20.67,1,0
228,82,42.8,337,6.43,36,1
229,4,187.5,14,10.29,2,0
230,4,174.75,6,5.83,2,0
231,14,97.96,32,11.13,1,0
232,7,130.86,25,9.3,3,0
233,4,125,21,5.24,2,0
234,30,98.2,120,7.74,12,1
235,32,75.03,158,8.72,18,1
236,5,97.5,26,9.65,3,0
237,8,98.19,22,5.91,3,0
238,18,65.81,24,6.88,1,0
239,2,122.43,16,23.38,1,0
240,13,89.42,76,12.58,9,0
241,14,123.22,42,10.94,3,1
242,13,70.88,25,5.6,1,0
243,51,38.83,149,6.18,9,1
244,11,119.15,26,39.15,1,1
245,3,350,44,35.18,3,1
246,18,106.46,70,12.9,13,0
247,2,200,6,5.83,1,0
248,14,81.61,52,9.04,10,0
249,11,100.32,27,14.41,1,0
250,4,139.88,22,6.55,4,0
251,4,99.75,6,6.67,1,0
252,2,375.5,7,16.86,1,0
253,5,97.9,11,5.91,2,0
254,20,59.28,107,8.16,12,0
255,10,75.15,30,5.83,2,0
256,12,105,32,6.88,5,0
257,72,65.93,257,5.22,1,1
258,50,374.45,204,22.97,47,1
259,3,733.33,8,44.88,1,0
260,2,100.5,12,14.58,1,0
261,4,89.88,10,5.3,2,0
262,17,113.21,28,23.75,1,0
263,3,104.17,16,5.06,1,0
264,7,292.86,32,21.06,4,0
265,5,270.75,16,22.69,2,0
266,3,145.83,18,13,1,0
267,8,83.38,36,9.03,4,0
268,8,85.31,67,9.39,10,0
269,17,129.74,117,11.56,21,1
270,19,89.04,54,7.41,1,1
271,63,152.44,190,9.23,35,1
272,10,98.65,31,7.9,5,0
273,45,146.77,80,9.5,6,1
274,56,23.68,129,6.54,13,1
275,101,76.96,279,7.15,26,1
276,97,22.38,229,6.14,13,1
277,10,119.95,33,42.05,4,0
278,7,78.14,18,10.83,4,0
279,58,86.1,326,10.15,32,1
280,4,99.75,13,12.31,8,0
281,9,122.41,19,10,4,0
282,28,38.5,67,6.19,11,1
283,9,86.61,29,16.17,5,0
284,23,147.5,48,35.5,11,1
285,18,84.83,67,11.24,9,0
286,4,268.97,14,22.71,3,0
287,16,174.66,54,19.26,7,1
288,6,126,13,8.31,3,0
289,3,180,10,6.5,2,0
290,24,242.53,60,28.88,12,1
291,16,264.31,45,30.98,8,1
292,31,110.25,106,6.42,18,1
293,11,201.37,52,17.68,9,1
294,31,63.37,113,5.83,12,1
295,6,240.89,10,20,1,1
296,7,59,23,4.74,1,0
297,3,99,15,9.53,1,0
298,12,135.07,35,9.57,7,0
299,67,30.99,196,6.36,8,1
300,19,98.32,46,9.24,5,0
301,3,100,9,5.89,1,0
302,4,144.71,15,7,3,0
303,202,17.42,524,6.51,33,1
304,38,51.08,194,8.44,34,1
305,4,98,10,5.3,1,0
306,2,155,5,4.8,1,0
307,135,32.68,503,6.48,93,1
308,52,80.34,176,6.9,17,1
309,3,97.5,8,5.13,1,0
310,3,88,17,11.15,2,0
311,11,133.5,27,7.26,4,0
312,5,135.3,13,20.38,1,0
313,11,178.18,21,10.71,2,0
314,3,188.28,3,56.67,1,0
315,3,215.12,21,16.33,2,0
316,1,100,28,31.25,3,0
317,4,132.58,8,17.5,1,0
318,22,123.94,72,11.68,14,1
319,17,55.09,39,5.74,4,1
320,40,188.57,44,19.73,1,1
321,5,330,6,18.5,1,0
322,4,100.06,18,15.81,1,0
323,11,191.65,18,29.56,2,0
324,4,89.38,10,18.5,1,0
325,5,230,13,18.08,2,1
326,32,64.37,128,5.98,10,1
327,9,85.17,21,5.48,1,0
328,7,93.14,21,5.62,3,0
329,23,60.58,100,5.9,10,1
330,3,166.67,10,6,1,0
331,9,116.31,41,17.44,5,0
332,3,86.67,7,5.71,1,0
333,9,211.11,38,15.89,4,1
334,63,47.39,221,7.24,21,1
335,12,93.15,12,5.42,1,0
336,17,122.19,26,6.15,1,0
337,5,247.89,16,24.06,2,0
338,4,195.03,13,14,1,0
339,2,100,6,14.33,1,0
340,92,47.32,412,6.41,37,1
